Churn,Account Weeks,Contract Renewal,Data Plan,Data Usage,Cust Serv Calls,Day Mins,Monthly Charge,Overage Fee,Roam Mins
0,128,Yes,Yes,2.7,1,252.10000000000002,89.0,9.87,10.0
0,107,Yes,Yes,3.7,1,161.6,82.0,9.78,13.7
0,137,Yes,No,0.0,0,230.4,52.0,6.06,12.2
0,84,No,No,0.0,2,286.4,57.0,3.1,6.6
0,75,No,No,0.0,3,166.7,41.0,7.42,10.1
0,118,No,No,0.0,0,210.4,57.0,6.029999999999999,6.3
0,121,Yes,Yes,2.03,3,205.2,87.3,12.43,7.5
0,147,No,No,0.0,0,157.0,36.0,5.16,7.1
0,117,Yes,No,0.19,1,171.5,63.9,12.579999999999998,8.7
0,141,No,Yes,3.02,0,245.60000000000002,93.2,6.1,11.2
1,65,Yes,No,0.29,4,205.1,44.9,11.43,12.7
0,74,Yes,No,0.34,0,174.7,49.4,8.17,9.1
0,168,Yes,No,0.0,1,128.8,31.0,5.25,11.2
0,95,Yes,No,0.44,3,156.6,52.4,7.380000000000001,12.3
0,62,Yes,No,0.0,4,120.7,47.0,10.36,13.1
1,161,Yes,No,0.0,4,332.9,84.0,15.89,5.4
0,85,Yes,Yes,3.73,1,183.4,95.3,9.05,13.8
0,93,Yes,No,0.0,3,177.7,51.0,5.91,8.1
0,76,Yes,Yes,2.7,1,176.7,78.0,5.640000000000001,10.0
0,73,Yes,No,0.0,1,211.4,52.0,7.98,13.0
0,147,Yes,No,0.31,0,155.1,50.1,6.99,10.6
1,77,Yes,No,0.0,5,138.4,26.0,8.5,5.7
0,130,Yes,No,0.0,0,170.0,38.0,3.65,9.5
0,111,Yes,No,0.39,2,110.4,34.9,6.87,7.7
0,132,Yes,No,0.0,0,81.1,35.0,7.26,10.3
0,174,Yes,No,0.0,3,124.3,45.0,8.86,15.5
0,57,Yes,Yes,2.57,0,200.0,78.7,9.56,9.5
0,54,Yes,No,0.0,3,134.3,37.0,7.78,14.7
0,20,Yes,No,0.32,0,177.0,58.2,7.91,6.3
0,49,Yes,No,0.21,1,119.3,41.1,5.76,11.1
0,142,Yes,No,0.0,2,84.8,27.0,6.84,14.2
0,75,Yes,No,0.0,1,213.1,56.0,5.08,10.3
0,172,Yes,No,0.0,3,199.0,39.0,1.56,12.6
1,12,Yes,No,0.0,3,249.6,64.0,12.62,11.8
0,57,Yes,Yes,2.24,0,176.8,69.4,9.75,8.3
0,72,Yes,Yes,3.97,3,207.0,95.7,5.869999999999999,14.7
0,36,Yes,Yes,3.92,0,146.3,78.2,8.13,14.5
0,78,Yes,No,0.0,1,130.8,42.0,6.1899999999999995,10.0
